uprn,postcode,lsoa_code,RelHMax,calculatedAreaValue,total_consumption,mean_counsumption,median_consumption,prop_households_fuel_poor,LATITUDE,LONGITUDE,mainheat-description,current-energy-rating,current-energy-efficiency,confidence,confidence_within_one_rating,additional_load,additional_peak_load,predicted
100071165798,593,24,7.4,<25_percentile,1986984.530769232,3934.622833206401,3491.2,40.25735294117647,0,0,0.0,D,64.0,,,0.0,0.0,0
100071160108,1136,41,8.3,50-75_percentile,1739371.55607143,2805.437993663596,2414.65,24.645390070921984,0,0,0.0,C,78.0,,,0.0,0.0,0
100071157661,770,21,7.7,25-50_percentile,2258116.03766234,3653.909446055566,3082.15,31.118314424635336,0,0,0.0,D,61.0,,,0.0,0.0,0
100071174095,887,10,7.9,>75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,D,64.0,,,0.0,0.0,0
10007121849,1241,30,12.1,>75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,1.0,B,83.0,,,0.0,0.0,0
100071163836,876,10,8.3,50-75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,C,71.0,,,0.0,0.0,0
100071144350,525,8,8.2,<25_percentile,2241874.092467534,4136.299063593236,3582.05,39.62962962962963,0,0,0.0,D,68.0,,,0.0,0.0,0
100071144468,1108,41,8.5,<25_percentile,1739371.55607143,2805.437993663596,2414.65,24.645390070921984,0,0,0.0,D,60.0,,,0.0,0.0,0
100071204443,402,5,8.7,25-50_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,E,51.0,,,0.0,0.0,0
100071152487,598,26,8.8,<25_percentile,1903427.271428572,3681.677507598784,3342.8,42.700729927007295,0,0,0.0,C,69.0,,,0.0,0.0,0
100071191619,1198,30,6.8,50-75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,0.0,C,76.0,,,0.0,0.0,0
10093323816,105,1,7.2,<25_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,C,80.0,,,0.0,0.0,0
100071144017,123,36,8.9,50-75_percentile,2129770.000000002,3872.309090909095,3312.6,15.18987341772152,0,0,0.0,D,57.0,,,0.0,0.0,0
100071175914,1068,48,7.4,50-75_percentile,3609812.91176471,3481.0153440354,2725.7,21.47093712930012,0,0,0.0,D,67.0,,,0.0,0.0,0
100071156997,1124,40,7.6,<25_percentile,1990415.49857143,2835.349713064715,2355.1,25.073313782991203,0,0,0.0,D,61.0,,,0.0,0.0,0
10090014777,105,1,8.4,<25_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,C,79.0,,,0.0,0.0,0
100071192348,423,7,8.6,25-50_percentile,2051579.500000002,3676.665770609322,3139.45,33.77926421404682,0,0,0.0,D,55.0,,,0.0,0.0,0
10090642022,127,1,15.5,>75_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,B,82.0,,,0.0,0.0,0
100071203714,478,14,7.0,50-75_percentile,2226215.357142857,3409.211879238679,2986.1,30.478955007256893,0,0,0.0,E,52.0,,,0.0,0.0,0
100071353457,954,18,57.9,>75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,C,79.0,,,0.0,0.0,0
100071181065,739,22,8.3,25-50_percentile,2003780.438950853,3875.784214605131,3042.3,17.647058823529413,0,0,0.0,E,51.0,,,0.0,0.0,0
100071165478,806,22,7.2,25-50_percentile,2003780.438950853,3875.784214605131,3042.3,17.647058823529413,0,0,0.0,E,54.0,,,0.0,0.0,0
100071157459,1143,39,8.2,25-50_percentile,1985858.633333334,2995.261890397185,2518.4,20.95639943741209,0,0,0.0,C,72.0,,,0.0,0.0,0
100071192865,25,19,7.1,50-75_percentile,2900068.69142857,3945.671689018462,3093.0,24.867021276595743,0,0,0.0,C,72.0,,,0.0,0.0,0
100071180787,516,8,7.7,<25_percentile,2241874.092467534,4136.299063593236,3582.05,39.62962962962963,0,0,0.0,C,78.0,,,0.0,0.0,0
100071172768,998,16,9.8,<25_percentile,2135483.166233765,3400.450901646123,2931.85,30.46757164404223,0,0,0.0,D,57.0,,,0.0,0.0,0
100071198049,996,16,7.6,>75_percentile,2135483.166233765,3400.450901646123,2931.85,30.46757164404223,0,0,0.0,D,64.0,,,0.0,0.0,0
100071185575,1200,30,7.1,50-75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,0.0,E,50.0,,,0.0,0.0,0
100071209866,559,2,7.3,50-75_percentile,2394759.220000003,3440.74600574713,3043.3,9.516616314199396,0,0,0.0,D,66.0,,,0.0,0.0,0
10007121862,1241,30,12.1,>75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,1.0,C,77.0,,,0.0,0.0,0
100071143805,481,23,8.5,25-50_percentile,1823220.319999998,3668.451348088528,3157.8,40.58721934369603,0,0,0.0,D,63.0,,,0.0,0.0,0
100071353523,957,18,57.9,>75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,C,79.0,,,0.0,0.0,0
100071157008,1123,40,8.3,50-75_percentile,1990415.49857143,2835.349713064715,2355.1,25.073313782991203,0,0,0.0,C,74.0,,,0.0,0.0,0
100071198859,210,4,7.1,25-50_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,D,60.0,,,0.0,0.0,0
10033912499,682,27,8.2,<25_percentile,2873978.003193278,3110.36580432173,2579.75,40.0887573964497,0,0,0.0,C,75.0,,,0.0,0.0,0
10090644023,903,49,8.6,50-75_percentile,2659720.599999998,3843.526878612714,3279.55,21.712158808933,0,0,0.0,A,95.0,,,0.0,0.0,0
10007116056,43,12,11.4,>75_percentile,2547336.3,3654.714921090388,3062.9,15.77424023154848,0,0,0.0,C,73.0,,,0.0,0.0,0
100071139061,1084,48,9.5,50-75_percentile,3609812.91176471,3481.0153440354,2725.7,21.47093712930012,0,0,0.0,C,72.0,,,0.0,0.0,0
100071178644,1042,50,7.3,25-50_percentile,2218047.920000001,3257.045403817917,2728.5,21.818181818181817,0,0,0.0,D,64.0,,,0.0,0.0,0
100071202385,632,25,7.9,<25_percentile,1983287.671428569,3665.966120940054,3315.6,48.13432835820896,0,0,0.0,D,68.0,,,0.0,0.0,0
100071160931,654,25,8.2,<25_percentile,1983287.671428569,3665.966120940054,3315.6,48.13432835820896,0,0,0.0,D,67.0,,,0.0,0.0,0
100071198741,973,17,8.6,<25_percentile,2409220.225769229,3956.026643299227,3225.4,21.98581560283688,0,0,0.0,D,60.0,,,0.0,0.0,0
100071173405,424,6,3.5,50-75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,D,66.0,,,0.0,0.0,0
100071158880,607,1,8.1,<25_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,D,67.0,,,0.0,0.0,0
100071146351,522,8,8.7,25-50_percentile,2241874.092467534,4136.299063593236,3582.05,39.62962962962963,0,0,0.0,D,61.0,,,0.0,0.0,0
100071181424,407,6,9.0,25-50_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,76.0,,,0.0,0.0,0
100071199137,699,21,6.8,50-75_percentile,2258116.03766234,3653.909446055566,3082.15,31.118314424635336,0,0,0.0,E,51.0,,,0.0,0.0,0
100071174585,635,24,7.9,<25_percentile,1986984.530769232,3934.622833206401,3491.2,40.25735294117647,0,0,0.0,C,71.0,,,0.0,0.0,0
10090644474,649,25,10.1,>75_percentile,1983287.671428569,3665.966120940054,3315.6,48.13432835820896,0,0,0.0,C,75.0,,,0.0,0.0,0
100071133995,421,7,3.2,>75_percentile,2051579.500000002,3676.665770609322,3139.45,33.77926421404682,0,0,0.0,D,56.0,,,0.0,0.0,0
100071181875,1009,18,8.8,>75_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,D,57.0,,,0.0,0.0,0
100071174134,894,10,8.6,>75_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,E,41.0,,,0.0,0.0,0
100071205715,1204,30,6.8,>75_percentile,2049254.653,3143.028608895705,2618.1,16.522988505747126,0,0,0.0,C,74.0,,,0.0,0.0,0
100071557157,394,6,11.7,>75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,78.0,,,0.0,0.0,0
100071173856,1079,46,8.3,50-75_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,D,64.0,,,0.0,0.0,0
100071187059,1082,46,8.2,50-75_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,E,54.0,,,0.0,0.0,0
100071157675,770,21,8.8,<25_percentile,2258116.03766234,3653.909446055566,3082.15,31.118314424635336,0,0,0.0,D,62.0,,,0.0,0.0,0
100071171804,362,5,8.0,>75_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,D,67.0,,,0.0,0.0,0
100071133068,529,3,6.3,50-75_percentile,1728855.771428572,3734.029743906204,3147.0,5.502846299810247,0,0,0.0,D,67.0,,,0.0,0.0,0
100071205572,788,1,8.1,25-50_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,D,65.0,,,0.0,0.0,0
100071161184,1103,39,9.2,50-75_percentile,1985858.633333334,2995.261890397185,2518.4,20.95639943741209,0,0,1.0,E,44.0,,,0.0,0.0,0
100071180101,52,12,8.2,<25_percentile,2547336.3,3654.714921090388,3062.9,15.77424023154848,0,0,0.0,C,74.0,,,0.0,0.0,0
100071148927,56,12,7.9,50-75_percentile,2547336.3,3654.714921090388,3062.9,15.77424023154848,0,0,0.0,D,61.0,,,0.0,0.0,0
100071178168,200,4,7.2,25-50_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,E,52.0,,,0.0,0.0,0
100071149656,191,4,8.2,50-75_percentile,2232751.876050422,3467.006018711835,2888.05,16.105417276720353,0,0,0.0,E,42.0,,,0.0,0.0,0
100071193026,619,0,8.9,50-75_percentile,2812690.339999997,3624.600953608244,2956.95,23.214285714285715,0,0,1.0,F,36.0,,,0.0,0.0,0
100071153165,1034,46,8.6,25-50_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,C,69.0,,,0.0,0.0,0
100071160455,1116,39,8.2,>75_percentile,1985858.633333334,2995.261890397185,2518.4,20.95639943741209,0,0,0.0,C,72.0,,,0.0,0.0,0
100071189850,1080,46,10.9,>75_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,D,66.0,,,0.0,0.0,0
10093323867,145,1,7.5,50-75_percentile,4493188.715936151,3383.425237903728,2723.55,33.78607809847199,0,0,0.0,C,79.0,,,0.0,0.0,0
100071150511,498,23,8.4,<25_percentile,1823220.319999998,3668.451348088528,3157.8,40.58721934369603,0,0,0.0,D,67.0,,,0.0,0.0,0
100071155417,337,35,7.5,25-50_percentile,2096566.971428571,3523.641968787514,3019.7,21.49390243902439,0,0,0.0,D,63.0,,,0.0,0.0,0
100071156597,834,13,8.5,>75_percentile,2434909.713550419,3846.618820774754,3195.9,13.813813813813812,0,0,0.0,D,60.0,,,0.0,0.0,0
100071357116,608,0,8.6,25-50_percentile,2812690.339999997,3624.600953608244,2956.95,23.214285714285715,0,0,0.0,E,54.0,,,0.0,0.0,0
100071143672,37,19,8.1,50-75_percentile,2900068.69142857,3945.671689018462,3093.0,24.867021276595743,0,0,0.0,D,61.0,,,0.0,0.0,0
100071188772,497,11,8.1,>75_percentile,2756882.271428573,4127.069268605649,3414.8,21.62962962962963,0,0,1.0,D,63.0,,,0.0,0.0,0
100071164165,388,6,6.9,25-50_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,D,59.0,,,0.0,0.0,0
10007124726,136,29,26.4,>75_percentile,3490777.096666667,4180.571373253493,3199.0,22.09165687426557,0,0,1.0,C,73.0,,,0.0,0.0,0
10090642073,392,6,8.7,>75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,C,80.0,,,0.0,0.0,0
100071191219,392,6,8.0,50-75_percentile,2227999.44,3243.085065502183,2654.7,26.412614980289096,0,0,0.0,D,68.0,,,0.0,0.0,0
100071163436,1152,41,6.6,50-75_percentile,1739371.55607143,2805.437993663596,2414.65,24.645390070921984,0,0,0.0,D,67.0,,,0.0,0.0,0
100071208279,1026,10,8.3,<25_percentile,2565703.500000002,3223.245603015078,2692.95,22.10401891252955,0,0,0.0,C,71.0,,,0.0,0.0,0
100071208161,1029,46,8.2,50-75_percentile,2451632.028571432,3349.224082747857,2731.6,11.95219123505976,0,0,0.0,D,56.0,,,0.0,0.0,0
100071150570,350,5,8.4,25-50_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,C,72.0,,,0.0,0.0,0
100071175122,1015,18,10.9,<25_percentile,2723448.48285714,3189.049745734356,2518.65,23.622881355932204,0,0,0.0,D,66.0,,,0.0,0.0,0
100071159986,404,5,8.5,25-50_percentile,2139915.958823528,3828.114416500051,3204.5,25.38860103626943,0,0,0.0,A,93.0,,,0.0,0.0,0
100071207432,247,29,7.3,50-75_percentile,3490777.096666667,4180.571373253493,3199.0,22.09165687426557,0,0,0.0,E,50.0,,,0.0,0.0,0
100071201915,976,17,9.0,25-50_percentile,2409220.225769229,3956.026643299227,3225.4,21.98581560283688,0,0,0.0,D,61.0,,,0.0,0.0,0
